ID_животного,Вид,Время_наблюдения,Тип_локации,Уровень_шума_дБ,Плотность_населения,Оценка_источника_пищи,Оценка_качества_укрытия,Оценка_аномалии_поведения,Оценка_суточной_дистанции_км,Сигнал_адаптации
HAYVAN_0001,Лиса,Ночь,Торговая зона,46.3,51.6,9,4,0.36,0.42,Инновационность
HAYVAN_0002,Голубь,Ночь,Жилая зона,51.5,59.0,6,8,0.16,0.27,Эксплуатация
HAYVAN_0003,Енот,После полудня,Торговая зона,75.9,59.1,7,1,0.1,0.66,Избегание
HAYVAN_0004,Голубь,После полудня,Жилая зона,71.9,30.8,7,8,0.05,0.99,Привыкание
HAYVAN_0005,Лиса,Ночь,Парк,52.8,27.9,4,7,0.25,0.64,Эксплуатация
HAYVAN_0006,Голубь,Вечер,Жилая зона,77.9,28.8,8,3,0.26,0.56,Эксплуатация
HAYVAN_0007,Белка,После полудня,Промышленная зона,54.1,-10.1,7,5,0.3,1.4,Избегание
HAYVAN_0008,Лиса,После полудня,Парк,65.2,40.5,5,6,0.19,1.41,Привыкание
HAYVAN_0009,Голубь,Ночь,Торговая зона,60.2,65.2,6,10,0.31,1.33,Избегание
HAYVAN_0010,Голубь,Утро,Жилая зона,55.8,38.5,4,3,0.24,4.22,Инновационность
HAYVAN_0011,Голубь,После полудня,Жилая зона,76.7,8.7,9,3,0.41,3.36,Избегание
HAYVAN_0012,Лиса,Вечер,Жилая зона,81.8,15.1,1,3,0.37,0.8,Избегание
HAYVAN_0013,Голубь,Утро,Торговая зона,66.8,15.9,3,7,0.28,1.64,Избегание
HAYVAN_0014,Енот,Ночь,Промышленная зона,80.3,54.9,4,5,0.36,0.63,Избегание
HAYVAN_0015,Голубь,После полудня,Торговая зона,62.2,37.5,4,2,0.23,1.08,Привыкание
HAYVAN_0016,Лиса,Утро,Жилая зона,66.1,39.6,9,4,0.1,0.15,Привыкание
HAYVAN_0017,Енот,Ночь,Парк,66.3,35.3,2,3,0.08,0.66,Избегание
HAYVAN_0018,Енот,Вечер,Жилая зона,53.4,13.3,2,6,0.2,1.55,Привыкание
HAYVAN_0019,Голубь,После полудня,Парк,70.0,15.8,1,4,0.31,0.9,Эксплуатация
HAYVAN_0020,Голубь,Ночь,Жилая зона,72.1,40.2,7,6,0.1,0.34,Инновационность
HAYVAN_0021,Лиса,После полудня,Промышленная зона,63.3,31.3,10,10,0.09,0.06,Эксплуатация
HAYVAN_0022,Белка,После полудня,Промышленная зона,48.1,2.1,9,2,0.38,1.26,Избегание
HAYVAN_0023,Лиса,Вечер,Торговая зона,68.7,41.8,1,1,0.27,1.68,Эксплуатация
HAYVAN_0024,Лиса,Утро,Промышленная зона,49.8,51.3,2,9,0.28,1.95,Привыкание
HAYVAN_0025,Лиса,Вечер,Парк,56.9,30.1,10,3,0.19,0.18,Привыкание
HAYVAN_0026,Голубь,После полудня,Торговая зона,66.3,25.3,10,1,0.26,2.84,Инновационность
HAYVAN_0027,Голубь,Вечер,Промышленная зона,57.3,50.5,9,1,0.44,0.02,Эксплуатация
HAYVAN_0028,Енот,После полудня,Жилая зона,67.5,27.1,1,1,0.32,1.24,Инновационность
HAYVAN_0029,Голубь,Вечер,Промышленная зона,62.7,20.8,1,5,0.51,2.12,Избегание
HAYVAN_0030,Лиса,После полудня,Торговая зона,48.7,6.9,4,1,0.18,0.52,Избегание
HAYVAN_0031,Енот,Вечер,Промышленная зона,66.7,22.6,5,10,0.23,0.06,Инновационность
HAYVAN_0032,Голубь,Ночь,Парк,70.9,58.0,2,4,0.26,2.1,Привыкание
HAYVAN_0033,Голубь,Вечер,Парк,75.1,47.5,3,4,0.4,1.04,Эксплуатация
HAYVAN_0034,Голубь,Утро,Парк,61.3,31.8,4,3,0.1,3.27,Инновационность
HAYVAN_0035,Голубь,Ночь,Парк,64.4,29.9,4,2,0.69,3.61,Инновационность
HAYVAN_0036,Голубь,Ночь,Парк,50.0,44.8,4,9,0.63,3.77,Эксплуатация
HAYVAN_0037,Голубь,Вечер,Торговая зона,84.6,31.5,10,4,0.25,7.64,Эксплуатация
HAYVAN_0038,Белка,Вечер,Промышленная зона,80.1,11.0,9,8,0.53,1.33,Привыкание
HAYVAN_0039,Белка,После полудня,Торговая зона,64.7,32.2,4,4,0.15,0.28,Избегание
HAYVAN_0040,Голубь,Утро,Промышленная зона,63.8,32.6,6,8,0.51,1.23,Привыкание
HAYVAN_0041,Лиса,Вечер,Парк,35.7,30.2,6,6,0.42,0.06,Привыкание
HAYVAN_0042,Енот,Утро,Жилая зона,75.4,33.9,1,6,0.21,0.07,Эксплуатация
HAYVAN_0043,Голубь,После полудня,Жилая зона,70.6,19.6,3,9,0.13,1.14,Эксплуатация
HAYVAN_0044,Голубь,Утро,Жилая зона,73.1,32.3,4,5,0.35,1.43,Избегание
HAYVAN_0045,Белка,Ночь,Промышленная зона,60.9,6.0,8,4,0.09,1.27,Инновационность
HAYVAN_0046,Голубь,После полудня,Промышленная зона,60.3,16.2,5,9,0.25,1.87,Избегание
HAYVAN_0047,Голубь,Ночь,Торговая зона,52.6,26.3,7,5,0.15,1.11,Инновационность
HAYVAN_0048,Белка,Утро,Торговая зона,72.8,39.0,7,7,0.23,0.67,Эксплуатация
HAYVAN_0049,Голубь,Ночь,Промышленная зона,77.5,25.5,3,10,0.43,0.63,Избегание
HAYVAN_0050,Лиса,Ночь,Парк,76.2,36.6,8,8,0.16,1.87,Избегание
HAYVAN_0051,Енот,После полудня,Парк,66.9,45.3,1,3,0.26,0.6,Эксплуатация
HAYVAN_0052,Белка,Ночь,Парк,61.7,66.3,2,1,0.1,0.08,Инновационность
HAYVAN_0053,Лиса,Ночь,Жилая зона,54.5,25.6,4,10,0.39,0.38,Избегание
HAYVAN_0054,Голубь,После полудня,Торговая зона,58.0,20.3,8,6,0.22,2.41,Привыкание
HAYVAN_0055,Голубь,Ночь,Жилая зона,69.7,30.6,4,1,0.31,1.07,Эксплуатация
HAYVAN_0056,Голубь,Утро,Торговая зона,62.2,33.0,3,8,0.53,0.47,Избегание
HAYVAN_0057,Голубь,Ночь,Парк,81.4,38.2,6,3,0.61,1.31,Избегание
HAYVAN_0058,Лиса,Утро,Парк,76.5,42.2,4,8,0.13,0.65,Избегание
HAYVAN_0059,Белка,После полудня,Парк,59.0,25.8,4,1,0.25,3.39,Привыкание
HAYVAN_0060,Голубь,После полудня,Жилая зона,52.8,40.9,2,2,0.05,0.82,Эксплуатация
HAYVAN_0061,Лиса,Ночь,Парк,59.5,31.2,6,7,0.24,1.53,Избегание
HAYVAN_0062,Голубь,После полудня,Парк,75.7,48.4,3,5,0.12,0.91,Эксплуатация
HAYVAN_0063,Лиса,После полудня,Жилая зона,59.8,25.8,9,10,0.29,0.95,Эксплуатация
HAYVAN_0064,Лиса,Вечер,Парк,70.5,32.1,7,5,0.38,0.91,Инновационность
HAYVAN_0065,Белка,Утро,Парк,59.3,34.1,6,9,0.31,0.36,Инновационность
HAYVAN_0066,Енот,Ночь,Жилая зона,68.4,47.0,1,10,0.31,3.56,Привыкание
HAYVAN_0067,Лиса,Ночь,Промышленная зона,70.3,29.9,10,5,0.32,0.9,Избегание
HAYVAN_0068,Енот,После полудня,Торговая зона,74.9,14.5,7,9,0.07,4.52,Привыкание
HAYVAN_0069,Енот,Вечер,Парк,79.3,4.6,10,1,0.25,1.77,Инновационность
HAYVAN_0070,Голубь,После полудня,Парк,78.1,45.5,3,1,0.27,1.57,Эксплуатация
HAYVAN_0071,Енот,Ночь,Жилая зона,59.7,39.6,9,2,0.17,1.05,Инновационность
HAYVAN_0072,Белка,После полудня,Промышленная зона,63.5,54.9,3,9,0.53,5.2,Инновационность
HAYVAN_0073,Лиса,Вечер,Жилая зона,53.3,31.4,2,6,0.11,0.61,Эксплуатация
HAYVAN_0074,Лиса,После полудня,Промышленная зона,62.6,31.3,5,7,0.44,1.95,Привыкание
HAYVAN_0075,Енот,Вечер,Жилая зона,65.2,32.7,10,1,0.55,0.36,Эксплуатация
HAYVAN_0076,Голубь,Вечер,Жилая зона,61.0,22.0,10,8,0.12,0.47,Инновационность
HAYVAN_0077,Голубь,После полудня,Промышленная зона,60.0,19.4,1,3,0.55,1.21,Избегание
HAYVAN_0078,Енот,Ночь,Промышленная зона,75.3,36.6,4,8,0.39,0.64,Избегание
HAYVAN_0079,Енот,Вечер,Торговая зона,74.1,47.7,10,4,0.24,1.03,Привыкание
HAYVAN_0080,Лиса,Ночь,Жилая зона,69.0,39.1,1,6,0.12,0.38,Привыкание
HAYVAN_0081,Голубь,Вечер,Парк,52.2,22.8,5,2,0.64,0.6,Эксплуатация
HAYVAN_0082,Лиса,Ночь,Парк,67.0,36.4,3,7,0.16,0.38,Привыкание
HAYVAN_0083,Голубь,Ночь,Промышленная зона,61.2,32.6,4,4,0.45,0.24,Эксплуатация
HAYVAN_0084,Голубь,После полудня,Торговая зона,78.2,21.5,9,6,0.43,1.28,Привыкание
HAYVAN_0085,Белка,После полудня,Жилая зона,47.0,11.7,8,5,0.32,0.16,Привыкание
HAYVAN_0086,Белка,Ночь,Торговая зона,59.4,17.5,3,6,0.34,1.99,Привыкание
HAYVAN_0087,Голубь,После полудня,Промышленная зона,59.1,47.9,9,10,0.28,4.11,Привыкание
HAYVAN_0088,Енот,Вечер,Промышленная зона,60.3,33.8,2,10,0.03,1.86,Эксплуатация
HAYVAN_0089,Голубь,Ночь,Промышленная зона,74.6,20.9,1,8,0.3,0.71,Привыкание
HAYVAN_0090,Голубь,Утро,Торговая зона,41.5,31.1,7,8,0.33,0.3,Привыкание
HAYVAN_0091,Лиса,Ночь,Парк,62.9,39.2,6,1,0.32,3.33,Эксплуатация
HAYVAN_0092,Белка,Вечер,Парк,73.5,21.9,7,7,0.35,2.0,Избегание
HAYVAN_0093,Голубь,Вечер,Парк,74.8,18.5,1,1,0.59,0.44,Привыкание
HAYVAN_0094,Лиса,Вечер,Торговая зона,59.5,3.4,9,4,0.39,2.87,Избегание
HAYVAN_0095,Голубь,Вечер,Жилая зона,58.2,46.3,10,10,0.37,0.49,Привыкание
HAYVAN_0096,Лиса,Ночь,Торговая зона,68.5,38.8,3,7,0.21,0.53,Избегание
HAYVAN_0097,Енот,После полудня,Парк,66.5,40.0,1,1,0.48,0.99,Избегание
HAYVAN_0098,Голубь,Вечер,Промышленная зона,65.7,38.4,8,9,0.14,2.41,Привыкание
HAYVAN_0099,Енот,Ночь,Промышленная зона,27.0,-0.4,4,1,0.27,0.27,Эксплуатация
HAYVAN_0100,Голубь,Ночь,Парк,53.7,31.6,7,2,0.34,0.26,Эксплуатация
HAYVAN_0101,Голубь,Ночь,Жилая зона,56.4,36.7,2,2,0.43,0.17,Инновационность
HAYVAN_0102,Лиса,Вечер,Промышленная зона,71.4,31.1,7,6,0.27,1.49,Избегание
HAYVAN_0103,Енот,Утро,Жилая зона,50.6,-5.3,8,9,0.37,0.94,Избегание
HAYVAN_0104,Енот,Вечер,Промышленная зона,54.5,28.1,2,2,0.06,1.71,Привыкание
HAYVAN_0105,Голубь,Ночь,Парк,63.5,26.1,8,4,0.73,0.2,Эксплуатация
HAYVAN_0106,Лиса,Вечер,Торговая зона,52.1,45.6,9,4,0.56,0.67,Привыкание
HAYVAN_0107,Белка,После полудня,Торговая зона,71.4,28.4,1,3,0.05,1.0,Эксплуатация
HAYVAN_0108,Голубь,Утро,Жилая зона,61.1,22.2,8,1,0.11,2.03,Инновационность
HAYVAN_0109,Белка,Утро,Парк,83.3,22.2,3,1,0.12,4.24,Эксплуатация
HAYVAN_0110,Голубь,Вечер,Промышленная зона,58.7,40.8,8,10,0.15,1.13,Эксплуатация
HAYVAN_0111,Голубь,Утро,Жилая зона,59.2,40.1,4,9,0.44,5.03,Привыкание
HAYVAN_0112,Голубь,Утро,Парк,73.0,26.8,8,2,0.24,3.01,Эксплуатация
HAYVAN_0113,Енот,Ночь,Торговая зона,58.4,24.0,6,2,0.32,0.58,Избегание
HAYVAN_0114,Белка,Ночь,Торговая зона,80.1,-4.5,3,10,0.54,0.76,Инновационность
HAYVAN_0115,Голубь,Утро,Торговая зона,69.8,-0.6,5,8,0.11,1.19,Инновационность
HAYVAN_0116,Голубь,Вечер,Жилая зона,62.0,17.5,8,2,0.08,0.21,Избегание
HAYVAN_0117,Голубь,Утро,Торговая зона,63.4,27.8,10,2,0.19,1.07,Привыкание
HAYVAN_0118,Голубь,Ночь,Жилая зона,93.5,18.1,3,2,0.56,0.94,Избегание
HAYVAN_0119,Енот,Ночь,Промышленная зона,69.9,7.3,10,4,0.19,0.45,Привыкание
HAYVAN_0120,Белка,Утро,Торговая зона,66.5,29.4,3,5,0.27,6.04,Привыкание
HAYVAN_0121,Белка,Утро,Торговая зона,63.7,29.7,10,4,0.45,0.44,Эксплуатация
HAYVAN_0122,Енот,После полудня,Торговая зона,75.4,49.6,1,10,0.36,1.42,Привыкание
HAYVAN_0123,Голубь,После полудня,Торговая зона,49.8,24.6,2,10,0.18,0.16,Привыкание
HAYVAN_0124,Голубь,Вечер,Промышленная зона,63.2,26.5,4,2,0.49,0.9,Привыкание
HAYVAN_0125,Белка,Ночь,Жилая зона,36.7,19.2,2,5,0.17,3.12,Избегание
HAYVAN_0126,Белка,Ночь,Промышленная зона,59.7,69.1,1,5,0.2,0.8,Избегание
HAYVAN_0127,Голубь,Ночь,Парк,73.5,39.7,1,7,0.29,0.07,Избегание
HAYVAN_0128,Голубь,После полудня,Промышленная зона,78.8,17.6,4,4,0.56,0.6,Привыкание
HAYVAN_0129,Белка,Вечер,Жилая зона,71.1,0.5,7,6,0.32,1.45,Избегание
HAYVAN_0130,Голубь,Ночь,Парк,71.4,10.7,3,4,0.19,4.83,Эксплуатация
HAYVAN_0131,Лиса,После полудня,Торговая зона,47.8,16.2,5,4,0.26,0.69,Эксплуатация
HAYVAN_0132,Енот,Вечер,Торговая зона,58.2,9.6,9,2,0.51,0.02,Избегание
HAYVAN_0133,Лиса,Утро,Торговая зона,79.7,28.2,1,9,0.68,2.84,Избегание
HAYVAN_0134,Белка,Утро,Парк,59.8,14.7,8,5,0.2,0.3,Избегание
HAYVAN_0135,Белка,Утро,Жилая зона,63.6,5.9,7,2,0.6,7.04,Эксплуатация
HAYVAN_0136,Енот,После полудня,Парк,56.9,39.6,5,4,0.22,0.39,Привыкание
HAYVAN_0137,Голубь,Утро,Торговая зона,55.7,6.9,7,3,0.55,1.61,Инновационность
HAYVAN_0138,Енот,Утро,Торговая зона,60.3,-8.3,1,4,0.15,0.15,Привыкание
HAYVAN_0139,Голубь,Вечер,Торговая зона,58.4,44.1,7,2,0.55,0.16,Привыкание
HAYVAN_0140,Голубь,Утро,Парк,74.6,56.9,7,7,0.08,0.06,Привыкание
HAYVAN_0141,Енот,Утро,Парк,67.2,30.6,2,3,0.56,1.15,Инновационность
HAYVAN_0142,Голубь,После полудня,Жилая зона,75.2,40.3,6,3,0.17,1.46,Эксплуатация
HAYVAN_0143,Белка,После полудня,Торговая зона,51.1,40.1,3,9,0.21,0.43,Эксплуатация
HAYVAN_0144,Голубь,После полудня,Парк,77.3,65.3,4,6,0.22,2.7,Привыкание
HAYVAN_0145,Голубь,Утро,Парк,65.2,15.1,3,7,0.39,2.66,Избегание
